Date;Price
29/04/1997;2.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
30/04/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
01/05/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
02/05/1997;220.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
05/05/1997;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
06/05/1997;2.25
07/05/1997;2.339.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
08/05/1997;23.300.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
09/05/1997;229.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
12/05/1997;2.270.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
13/05/1997;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
14/05/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
15/05/1997;2.25
16/05/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
19/05/1997;2.25
20/05/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
21/05/1997;220.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
22/05/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
23/05/1997;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
27/05/1997;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
28/05/1997;2.339.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
29/05/1997;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
30/05/1997;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
02/06/1997;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
03/06/1997;2.109.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
04/06/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
05/06/1997;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
06/06/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
09/06/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
10/06/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
11/06/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
12/06/1997;2.140.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
13/06/1997;2.149.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
16/06/1997;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
17/06/1997;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
18/06/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
19/06/1997;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
20/06/1997;2.25
23/06/1997;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
24/06/1997;2.319.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
25/06/1997;2.319.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
26/06/1997;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
27/06/1997;21.699.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
30/06/1997;21.699.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
01/07/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
02/07/1997;2.140.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
03/07/1997;2.109.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
07/07/1997;212.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
08/07/1997;212.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
09/07/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
10/07/1997;2.149.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
11/07/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
14/07/1997;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
15/07/1997;220.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
16/07/1997;22.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
17/07/1997;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
18/07/1997;22.599.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
21/07/1997;21.699.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
22/07/1997;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
23/07/1997;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
24/07/1997;22.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
25/07/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
28/07/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
29/07/1997;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
30/07/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
31/07/1997;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
01/08/1997;22.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
04/08/1997;22.599.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
05/08/1997;23.300.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
06/08/1997;237.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
07/08/1997;2.5
08/08/1997;237.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
11/08/1997;2.529.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
12/08/1997;2.560.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
13/08/1997;245.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
14/08/1997;2.569.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
15/08/1997;2.529.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
18/08/1997;2.560.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
19/08/1997;2.609.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
20/08/1997;262.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
21/08/1997;245.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
22/08/1997;2.470.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
25/08/1997;2.529.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
26/08/1997;25.800.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
27/08/1997;25.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
28/08/1997;2.569.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
29/08/1997;2.689.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
02/09/1997;2.819.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
03/09/1997;2.859.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
04/09/1997;2.729.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
05/09/1997;26.699.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
08/09/1997;26.699.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
09/09/1997;27.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
10/09/1997;27.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
